date,merchant,amount,description,category
2024-07-01 08:00:00,Paycheck Deposit,3200.00,Monthly salary,Income
2024-07-03 00:00:00,Netflix,-15.99,Monthly subscription,Entertainment
2024-07-03 00:00:00,Spotify,-9.99,Music subscription,Entertainment
2024-07-05 18:03:00,Planet Fitness,-29.99,Gym membership,Health & Fitness
2024-07-07 00:00:00,Amazon Prime,-14.99,Prime membership,Shopping
2024-07-08 00:00:00,Adobe Creative Cloud,-52.99,Software subscription,Business
2024-07-10 00:00:00,Rent Payment,-1450.00,Monthly rent,Housing
2024-07-12 00:15:00,Electric Company,-142.35,Monthly bill,Utilities
2024-07-12 00:00:00,Water Utility,-45.67,Monthly bill,Utilities
2024-07-13 00:00:00,Internet Provider,-79.99,Internet service,Utilities
2024-07-14 00:00:00,T-Mobile,-85.00,Cell phone plan,Utilities
2024-07-15 14:01:00,Starbucks,-5.89,Morning coffee,Food & Dining
2024-07-16 11:10:00,Whole Foods,-87.45,Groceries,Food & Dining
2024-07-17 18:08:00,Shell Gas Station,-52.30,Fuel,Transportation
2024-07-18 15:00:00,Target,-89.32,Household items,Shopping
2024-07-19 12:02:00,Chipotle,-12.85,Lunch,Food & Dining
2024-07-20 00:00:00,LinkedIn Premium,-29.99,Professional subscription,Business
2024-07-21 09:02:00,Uber,-18.50,Ride share,Transportation
2024-07-22 18:00:00,CVS Pharmacy,-34.99,Medications,Healthcare
2024-07-23 13:00:00,Starbucks,-6.25,Afternoon coffee,Food & Dining
2024-07-24 15:00:00,Trader Joe's,-64.23,Organic groceries,Food & Dining
2024-07-25 00:09:00,Apple iCloud,-2.99,Cloud storage,Technology
2024-07-26 00:06:00,GitHub Pro,-7.00,Developer tools,Business
2024-07-28 00:00:00,Blue Apron,-59.94,Meal kit subscription,Food & Dining
2024-07-29 00:00:00,Dollar Shave Club,-9.00,Grooming subscription,Personal Care
2024-07-30 00:00:00,Audible,-14.95,Audiobook subscription,Entertainment
