date,merchant,amount,description,category
2025-01-01,Paycheck Deposit,2500.00,Monthly salary,Income
2025-01-15,Starbucks #4432,-5.89,Morning coffee,Food & Dining
2025-01-16,Amazon.com,-45.99,Books and supplies,Shopping
2025-01-16,Shell Gas Station,-52.30,Fuel,Transportation
2025-01-17,Whole Foods,-87.45,Groceries,Food & Dining
2025-01-18,Netflix,-15.99,Monthly subscription,Entertainment
2025-01-19,Target,-123.67,Household items,Shopping
2025-01-20,Chipotle,-12.85,Lunch,Food & Dining
2025-01-21,Apple Store,-999.00,New iPhone,Electronics
2025-01-22,Uber,-18.50,Ride to airport,Transportation
2025-01-23,Delta Airlines,-350.00,Flight ticket,Travel
2025-01-24,Hotel Marriott,-189.00,Accommodation,Travel
2025-01-25,Starbucks #4432,-6.25,Afternoon coffee,Food & Dining
2025-01-26,Walmart,-67.32,Weekly shopping,Shopping
2025-01-27,CVS Pharmacy,-24.99,Medications,Healthcare
2025-01-28,McDonald's,-9.45,Fast food,Food & Dining
2025-01-29,Planet Fitness,-29.99,Gym membership,Health & Fitness
2025-01-30,Spotify,-9.99,Music subscription,Entertainment
2025-02-01,Paycheck Deposit,2500.00,Monthly salary,Income
2025-02-01,Electric Company,-125.67,Monthly bill,Utilities
2025-02-02,Internet Provider,-79.99,Internet service,Utilities
2025-02-03,Trader Joe's,-54.23,Organic groceries,Food & Dining
2025-02-05,Freelance Payment,500.00,Website design project,Income
2025-02-10,Venmo from Sarah,50.00,Dinner split refund,Income
